RCPS Problem 1 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 13/2+05:47
asm_1.step_078 5/2+06:59
asm_1.step_079 10/2+05:08
asm_1.step_080 10/1+00:53
asm_1.step_081 5/2+05:59
asm_1.step_082 5/2+02:23
asm_1.step_083 19/2+00:51
asm_1.step_084 3/2+04:59
asm_1.step_085 6/1+03:08
asm_1.step_086 4/1+01:28
asm_1.step_087 9/2+01:03
asm_1.step_088 10/1+00:58
asm_1.step_089 1/2+01:13
asm_1.step_090 5/1+04:12
asm_1.step_091 9/2+05:05
asm_1.step_092 1/2+06:58
asm_1.step_093 12/1+01:58
asm_1.step_094 8/1+03:58
asm_1.step_095 8/1+02:58
asm_1.step_096 7/1+04:03
asm_1.step_097 3/1+05:18=7F
asm_1.step_098 18/1+00:21
asm_1.step_099 2/2+00:48
asm_1.step_100 21/2+02:55
asm_1.step_101 10/2+03:29
asm_1.step_102 7/2+02:28
asm_1.step_103 6/2+02:28
asm_1.step_104 24/1+00:22
asm_1.step_105 9/2+04:58
asm_1.step_106 1/1+02:25
asm_1.step_107 5/1+03:23
asm_1.step_108 2/2+03:13
asm_1.step_109 1/2+05:13
asm_1.step_110 4/1+00:58
asm_1.step_111 26/2+03:49
asm_1.step_112 13/2+06:17
asm_1.step_113 17/2+02:25
asm_1.step_114 8/2+05:39
asm_1.step_115 20/2+00:51
asm_1.step_116 8/2+03:08
asm_1.step_117 7/2+00:58
asm_1.step_118 6/1+04:08
asm_1.step_119 18/2+00:21
asm_1.step_120 5/1+07:28
asm_1.step_121 8/1+03:33
asm_1.step_122 4/1+00:58
asm_1.step_123 9/2+00:58
asm_1.step_124 6/1+04:08
asm_1.step_125 7/1+00:58
asm_1.step_126 4/2+00:58
asm_1.step_127 7/2+03:18
asm_1.step_128 26/2+00:49
asm_1.step_129 5/1+07:28
asm_1.step_130 13/1+07:26
asm_1.step_131 4/1+03:58
asm_1.step_132 14/1+07:26
asm_1.step_133 10/2+04:53
asm_1.step_134 21/2+03:16
asm_1.step_135 7/2+05:43
asm_1.step_136 4/2+07:01
asm_1.step_137 5/2+02:23
asm_1.step_138 8/2+03:38
asm_1.step_139 1/2+01:13
asm_1.step_140 5/2+01:37
asm_1.step_141 8/2+06:09
asm_1.step_142 8/2+05:08
asm_1.step_143 5/2+07:23
asm_1.step_144 4/2+05:38
asm_1.step_145 2/1+04:13
asm_1.step_146 5/2+02:23
asm_1.step_147 20/2+00:51
asm_1.step_148 8/1+03:33
asm_1.step_149 5/1+07:27
asm_1.step_150 12/2+06:26
asm_1.step_151 10/2+05:03
asm_1.step_152 22/1+03:16
asm_1.step_153 11/1+01:58
asm_1.step_154 5/1+03:13
asm_1.step_155 12/2+06:32
asm_1.step_156 11/1+03:29
asm_1.step_157 12/1+05:26
asm_1.step_158 10/1+06:29
asm_1.step_159 10/2+00:58
asm_1.step_160 13/2+07:17
asm_1.step_161 4/1+00:58
asm_1.step_162 3/2+07:00
asm_1.step_163 3/1+01:13
asm_1.step_164 14/1+06:12
asm_1.step_165 9/2+02:40
asm_1.step_166 20/2+03:16
asm_1.step_167 23/1+02:28
asm_1.step_168 5/2+01:23
asm_1.step_169 4/1+00:58
asm_1.step_170 12/1+04:23
asm_1.step_171 11/1+01:28
asm_1.step_172 4/1+00:58
asm_1.step_173 21/2+00:51
asm_1.step_174 22/2+01:19
asm_1.step_175 1/1+00:00
asm_1.step_176 3/2+02:58
asm_1.step_177 6/1+03:08
asm_1.step_178 14/1+01:17
asm_1.step_179 23/2+03:49
asm_1.step_180 4/1+03:53
asm_1.step_181 7/2+00:58
asm_1.step_182 10/2+01:28
asm_1.step_183 6/2+05:53
asm_1.step_184 11/1+01:58
asm_1.step_185 12/1+06:26
asm_1.step_186 6/1+04:08
asm_1.step_187 20/2+00:51
asm_1.step_188 5/1+00:58
asm_1.step_189 11/2+01:58
asm_1.step_190 23/1+00:19
asm_1.step_191 7/2+01:33
asm_1.step_192 20/1+06:25
asm_1.step_193 26/2+06:34
asm_1.step_194 10/1+00:58
asm_1.step_195 4/2+07:28
asm_1.step_196 3/1+00:18
asm_1.step_197 14/2+07:26
asm_1.step_198 11/2+01:28
asm_1.step_199 5/2+00:58
asm_1.step_200 1/2+02:25
asm_1.step_201 8/1+03:28
asm_1.step_202 12/2+05:03
asm_1.step_203 11/1+00:58
asm_1.step_204 7/2+01:33
asm_1.step_205 1/2+01:13
asm_1.step_206 21/2+06:58
asm_1.step_207 4/1+06:31
asm_1.step_208 8/1+04:53
asm_1.step_209 12/1+01:28
asm_1.step_210 4/2+06:18
asm_1.step_211 3/1+00:38
asm_1.step_212 8/2+02:53
asm_1.step_213 12/2+07:26
asm_1.step_214 8/2+04:58
asm_1.step_215 10/2+02:03
asm_1.step_216 17/1+06:30
asm_1.step_217 4/2+02:18
asm_1.step_218 8/2+05:58
asm_1.step_219 5/2+05:38
asm_1.step_220 11/2+05:03
asm_1.step_221 11/1+01:28
asm_1.step_222 20/2+03:16
asm_1.step_223 15/2+07:26
asm_1.step_224 3/1+05:18
asm_1.step_225 4/1+02:18
asm_1.step_226 2/2+02:13
asm_1.step_227 7/1+02:28
asm_1.step_228 1/1+01:00
asm_1.step_229 3/1+00:08
asm_1.step_230 4/2+02:21
asm_1.step_231 3/2+02:58
asm_1.step_232 6/1+06:58
asm_1.step_233 5/2+02:59
asm_1.step_234 5/1+01:58
asm_1.step_235 7/1+01:58
asm_1.step_236 4/1+01:31
asm_1.step_237 17/2+00:00
asm_1.step_238 3/1+00:18
asm_1.step_239 4/2+00:58
asm_1.step_240 22/2+04:28
asm_1.step_241 22/2+06:13
asm_1.step_242 21/1+03:16
asm_1.step_243 6/1+04:08
asm_1.step_244 7/2+06:58
asm_1.step_245 23/1+06:13
asm_1.step_246 22/1+04:46
asm_1.step_247 1/2+01:13
asm_1.step_248 4/1+07:16
asm_1.step_249 3/2+02:58
asm_1.step_250 7/2+00:58
asm_1.step_251 11/1+00:58
asm_1.step_252 21/1+06:25
asm_1.step_253 1/1+00:00
asm_1.step_254 1/2+04:40
asm_1.step_255 5/1+00:58
asm_1.step_256 11/2+03:53
asm_1.step_257 12/1+05:03
asm_1.step_258 6/2+03:13
asm_1.step_259 6/1+01:53
asm_1.step_260 2/2+01:38
asm_1.step_261 9/1+02:28
asm_1.step_262 9/1+05:14
asm_1.step_263 6/1+04:43
asm_1.step_264 8/1+00:58
asm_1.step_265 9/1+06:08
asm_1.step_266 4/1+05:01
asm_1.step_267 6/1+04:08
asm_1.step_268 26/2+01:49
asm_1.step_269 25/1+03:49
asm_1.step_270 7/2+05:43
asm_1.step_271 4/1+00:58
asm_1.step_272 4/1+00:58
asm_1.step_273 20/2+00:51
asm_1.step_274 5/2+00:23
asm_1.step_275 8/1+00:03
asm_1.step_276 7/2+05:58
asm_1.step_277 12/1+06:26
asm_1.step_278 4/1+07:28
asm_1.step_279 7/2+01:58
asm_1.step_280 19/1+06:25
asm_1.step_281 13/2+05:32
asm_1.step_282 26/2+04:04
asm_1.step_283 8/1+03:08
asm_1.step_284 4/1+00:58
asm_1.step_285 4/1+02:03
asm_1.step_286 4/1+00:58
asm_1.step_287 5/2+07:17
asm_1.step_288 3/1+00:18
asm_1.step_289 6/1+00:58
asm_1.step_290 12/1+04:23
asm_1.step_291 4/1+04:28
asm_1.step_292 24/2+03:49
asm_1.step_293 2/2+06:13
asm_1.step_294 11/2+01:58
asm_1.step_295 2/1+02:28
asm_1.step_296 8/2+05:39
asm_1.step_297 9/2+02:40
asm_1.step_298 5/2+01:53
asm_1.step_299 22/2+01:19
asm_1.step_300 4/2+00:58
asm_1.step_301 12/2+04:23
asm_1.step_302 7/2+05:58
asm_1.step_303 2/2+04:23
asm_1.step_304 2/2+00:58
asm_1.step_305 6/1+04:08
asm_1.step_306 3/1+06:28
asm_1.step_307 10/1+02:03
asm_1.step_308 1/2+01:58
asm_1.step_309 8/1+05:28
asm_1.step_310 25/1+04:19
asm_1.step_311 2/2+06:38
asm_1.step_312 4/1+00:58
asm_1.step_313 5/1+02:59
asm_1.step_314 1/2+01:13
asm_1.step_315 17/1+00:21
asm_1.step_316 4/2+00:58
asm_1.step_317 11/2+05:08
asm_1.step_318 3/2+02:58
asm_1.step_319 5/1+00:58
asm_1.step_320 6/1+00:58
asm_1.step_321 20/2+00:51
asm_1.step_322 5/2+03:08
asm_1.step_323 6/2+00:58
asm_1.step_324 8/1+02:28
asm_1.step_325 16/1+00:56
asm_1.step_326 16/1+00:56
asm_1.step_327 16/1+04:56
asm_1.step_328 3/1+04:11
asm_1.step_329 1/2+01:13
asm_1.step_330 8/2+03:38=7F
asm_1.step_331 6/2+03:33
asm_1.step_332 5/1+04:58
asm_1.step_333 9/2+00:28
asm_1.step_334 1/2+01:13
asm_1.step_335 20/1+00:51
asm_1.step_336 7/1+03:13
asm_1.step_337 8/2+02:38
asm_1.step_338 5/1+02:28
asm_1.step_339 4/2+03:23
asm_1.step_340 1/2+01:13
asm_1.step_341 8/1+05:33
asm_1.step_342 11/1+04:58
asm_1.step_343 2/2+03:20
asm_1.step_344 2/1+04:58
asm_1.step_345 7/2+04:48
asm_1.step_346 2/1+02:13
asm_1.step_347 7/2+04:53
asm_1.step_348 7/1+02:28
asm_1.step_349 26/2+04:04
asm_1.step_350 7/2+03:18
asm_1.step_351 16/1+06:57
asm_1.step_352 4/1+03:58
asm_1.step_353 2/2+01:13
asm_1.step_354 5/2+02:59
asm_1.step_355 5/2+06:17
asm_1.step_356 2/2+01:08
asm_1.step_357 8/1+00:43
asm_1.step_358 4/1+00:58
asm_1.step_359 16/2+03:21
asm_1.step_360 3/1+01:41
asm_1.step_361 18/1+06:25
asm_1.step_362 1/2+01:13
asm_1.step_363 7/1+00:03
asm_1.step_364 9/2+06:28
asm_1.step_365 7/1+00:58
asm_1.step_366 1/1+00:00
asm_1.step_367 17/2+00:21
asm_1.step_368 1/2+01:13
asm_1.step_369 3/1+00:26
asm_1.step_370 13/2+04:02
asm_1.step_371 4/1+01:28
asm_1.step_372 6/1+01:08
asm_1.step_373 13/2+03:02
asm_1.step_374 9/1+03:08
asm_1.step_375 10/1+00:29
asm_1.step_376 13/2+07:26
asm_1.step_377 7/1+04:33
asm_1.step_378 1/1+02:18
asm_1.step_379 8/1+00:58
asm_1.step_380 2/1+01:22
asm_1.step_381 10/2+04:58
asm_1.step_382 6/1+05:38
asm_1.step_383 1/1+02:00
asm_1.step_384 5/2+04:47
asm_1.step_385 4/1+05:04
asm_1.step_386 1/1+04:43
asm_1.step_387 5/1+00:58
asm_1.step_388 9/1+04:53
asm_1.step_389 9/2+04:53
asm_1.step_390 1/2+06:13
asm_1.step_391 10/1+04:58
asm_1.step_392 23/1+03:49
asm_1.step_393 1/1+00:00
asm_1.step_394 9/1+03:28
asm_1.step_395 6/1+06:58
asm_1.step_396 4/2+00:33
asm_1.step_397 6/1+01:58
asm_1.step_398 2/2+03:43
asm_1.step_399 5/2+00:28
asm_1.step_400 12/2+06:32
asm_1.step_401 6/1+05:43
asm_1.step_402 5/2+03:48
asm_1.step_403 4/2+03:16
asm_1.step_404 7/1+00:58
asm_1.step_405 11/1+05:08
asm_1.step_406 8/1+00:58
asm_1.step_407 5/2+02:23
asm_1.step_408 26/1+04:19
asm_1.step_409 7/2+06:28
asm_1.step_410 5/2+05:47
asm_1.step_411 4/2+00:58
asm_1.step_412 2/2+02:38
asm_1.step_413 6/1+02:18
asm_1.step_414 4/1+00:58
asm_1.step_415 8/2+03:08
asm_1.step_416 2/2+00:23
asm_1.step_417 4/1+01:58
asm_1.step_418 1/1+05:43
asm_1.step_419 13/2+03:32
asm_1.step_420 6/2+00:58
asm_1.step_421 4/1+00:58
asm_1.step_422 1/2+03:38
asm_1.step_423 11/2+03:29
asm_1.step_424 22/2+04:49
asm_1.step_425 5/1+06:12
asm_1.step_426 13/2+03:47
asm_1.step_427 3/2+03:29
asm_1.step_428 7/1+04:33
asm_1.step_429 10/1+01:03
asm_1.step_430 1/2+02:13
asm_1.step_431 4/1+00:58
asm_1.step_432 5/1+07:28
asm_1.step_433 7/2+07:13
asm_1.step_434 4/1+06:23
asm_1.step_435 15/1+07:26
asm_1.step_436 5/1+01:13
asm_1.step_437 8/2+00:58
asm_1.step_438 22/2+05:28
asm_1.step_439 16/2+00:56
asm_1.step_440 2/1+02:13
asm_1.step_441 4/1+00:58
asm_1.step_442 5/2+03:08
asm_1.step_443 4/1+01:28
asm_1.step_444 3/1+00:18
asm_1.step_445 9/1+05:58
asm_1.step_446 1/2+01:13
asm_1.step_447 6/2+01:08
asm_1.step_448 4/1+01:58
asm_1.step_449 2/1+03:28
asm_1.step_450 2/2+02:53
asm_1.step_451 11/1+01:58
asm_1.step_452 10/1+04:53
asm_1.step_453 6/1+01:08
asm_1.step_454 1/2+01:13
asm_1.step_455 3/2+02:29
asm_1.step_456 5/1+01:28
asm_1.step_457 3/2+05:18
asm_1.step_458 7/1+02:28
asm_1.step_459 6/1+04:08
asm_1.step_460 5/1+06:58
asm_1.step_461 2/2+07:23
asm_1.step_462 4/1+00:58
asm_1.step_463 11/1+01:58
asm_1.step_464 2/1+02:34
asm_1.step_465 8/1+03:08
asm_1.step_466 5/2+01:58
asm_1.step_467 7/2+03:18
asm_1.step_468 4/2+00:58
asm_1.step_469 8/1+02:28
asm_1.step_470 9/2+02:28
asm_1.step_471 8/1+00:03
asm_1.step_472 9/2+05:58
asm_1.step_473 4/1+02:28
asm_1.step_474 2/1+02:28
asm_1.step_475 20/2+06:25
asm_1.step_476 2/2+06:48
asm_1.step_477 2/1+01:43
asm_1.step_478 4/2+01:37
asm_1.step_479 4/1+00:58
asm_1.step_480 1/2+01:13
asm_1.step_481 2/1+01:18
asm_1.step_482 8/2+00:58
asm_1.step_483 2/1+03:20
asm_1.step_484 3/1+00:56
asm_1.step_485 11/1+00:58
asm_1.step_486 4/2+04:01
asm_1.step_487 5/2+05:38
asm_1.step_488 10/1+04:58
asm_1.step_489 8/2+02:28
asm_1.step_490 22/1+03:16
asm_1.step_491 1/2+05:13
asm_1.step_492 4/1+01:31
asm_1.step_493 9/2+05:08
asm_1.step_494 11/1+04:23
asm_1.step_495 6/2+00:58
asm_1.step_496 2/1+00:55
asm_1.step_497 12/1+06:32
asm_1.step_498 6/2+01:58
asm_1.step_499 10/2+04:58
asm_1.step_500 2/1+03:43
asm_1.step_501 8/1+03:32
asm_1.step_502 4/1+03:23
asm_1.step_503 4/1+00:58
asm_1.step_504 1/2+01:13
asm_1.step_505 7/1+00:03
asm_1.step_506 4/2+00:58
asm_1.step_507 2/1+01:13
asm_1.step_508 6/2+02:13
asm_1.step_509 5/1+01:53
asm_1.step_510 4/1+05:04
asm_1.step_511 11/2+01:28
asm_1.step_512 12/1+05:08
asm_1.step_513 6/2+02:28
asm_1.step_514 1/2+01:13
asm_1.step_515 21/2+00:51
asm_1.step_516 6/2+00:58
asm_1.step_517 4/2+00:58
asm_1.step_518 23/2+03:49
asm_1.step_519 4/1+00:58
asm_1.step_520 1/1+00:00
asm_1.step_521 9/2+05:05
asm_1.step_522 4/2+00:58
asm_1.step_523 24/1+00:22
asm_1.step_524 5/2+00:23
asm_1.step_525 8/1+03:08
asm_1.step_526 7/1+05:14
asm_1.step_527 5/1+05:38
asm_1.step_528 5/2+05:38
asm_1.step_529 3/1+06:53
asm_1.step_530 5/1+06:42
asm_1.step_531 2/2+02:13
asm_1.step_532 4/2+02:18
asm_1.step_533 4/1+00:58
asm_1.step_534 12/1+03:29
asm_1.step_535 9/1+05:44
asm_1.step_536 6/2+01:53
asm_1.step_537 4/1+07:26
asm_1.step_538 2/1+06:13
asm_1.step_539 8/2+04:53
asm_1.step_540 13/2+03:17
asm_1.step_541 7/2+01:33
asm_1.step_542 9/1+05:44
asm_1.step_543 1/2+02:13
asm_1.step_544 5/1+00:58
asm_1.step_545 9/2+00:15=7F
asm_1.step_546 5/2+02:22
asm_1.step_547 21/1+00:51
asm_1.step_548 1/2+02:13
asm_1.step_549 18/1+02:25
asm_1.step_550 3/1+00:43
asm_1.step_551 7/2+00:53
asm_1.step_552 4/1+01:04
asm_1.step_553 7/2+03:18
asm_1.step_554 25/1+03:49
asm_1.step_555 6/2+01:08
asm_1.step_556 5/1+03:31
asm_1.step_557 10/2+00:58
asm_1.step_558 13/1+07:02
asm_1.step_559 19/1+00:21
asm_1.step_560 1/2+04:48
asm_1.step_561 7/2+03:18
asm_1.step_562 4/1+01:58
asm_1.step_563 8/2+04:53
asm_1.step_564 25/2+04:19
asm_1.step_565 7/1+02:23
asm_1.step_566 10/1+05:08
asm_1.step_567 21/1+00:51
asm_1.step_568 1/2+01:13
asm_1.step_569 7/2+06:43
asm_1.step_570 8/2+06:09
asm_1.step_571 9/1+00:58
asm_1.step_572 14/1+00:47
asm_1.step_573 3/2+05:58
asm_1.step_574 3/2+05:05
asm_1.step_575 2/1+01:43


